elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
27.323,2.9673,-1.1998,0.3618,2.3001,-1.0,0.0,0.6964,16.674,0.291,0.8036,0.1964,0.333,0.5295,fast_left
27.628,3.0811,-1.146,0.5118,2.4202,-1.0,0.0,0.6768,12.457,0.2174,0.8232,0.1768,0.5017,0.6785,fast_right
27.923,3.1856,-1.0759,0.6562,2.5,-0.9599,1.5708,0.6954,99.599,1.7383,0.8046,0.1954,-1.0,-0.8046,fast_straight
28.123,3.2504,-1.0214,0.7312,2.5,-0.8799,1.5708,0.7636,100.683,1.7572,0.7364,0.2636,-1.0,-0.7364,fast_right
28.432,3.3538,-0.9201,0.8062,2.5,-0.7597,1.5708,0.8687,100.64,1.7565,0.6313,0.3687,-1.0,-0.6313,fast_right
28.725,3.4396,-0.8271,0.8362,2.5,-0.6399,1.5708,0.9581,101.268,1.7675,0.5419,0.4581,-1.0,-0.5419,fast_right
29.033,3.5245,-0.7339,0.8212,2.5,-0.5197,1.5708,1.0466,101.813,1.777,0.4534,0.5466,-1.0,-0.4534,fast_right
29.323,3.6129,-0.6442,0.7612,2.5,-0.3999,1.5708,1.1393,102.379,1.7869,0.3607,0.6393,-1.0,-0.3607,fast_straight
29.629,3.7126,-0.5584,0.6674,2.5,-0.2798,1.5708,1.2442,102.94,1.7966,0.2558,0.7442,-1.0,-0.2558,fast_left
29.923,3.8416,-0.4641,0.6074,2.5,-0.1599,1.5708,1.3756,102.775,1.7938,0.1244,0.8756,-1.0,-0.1244,left
30.236,3.9459,-0.3934,0.5924,2.5,-0.0397,1.5708,1.4885,103.746,1.8107,0.0115,0.9885,-1.0,-0.0115,left
30.53,4.0322,-0.3337,0.6224,2.5,0.0802,1.5708,1.5872,105.116,1.8346,0.0872,0.9128,-1.0,-0.0872,left
30.834,4.1152,-0.2694,0.6974,2.5,0.2003,1.5708,1.6822,106.214,1.8538,0.1822,0.8178,-1.0,-0.1822,left
31.135,4.1915,-0.1973,0.8174,2.5,0.3203,1.5708,1.7689,107.015,1.8678,0.2689,0.7311,-1.0,-0.2689,left
31.435,4.2569,-0.1153,0.9668,2.5,0.4404,1.5708,1.8428,107.554,1.8772,0.3428,0.6572,-1.0,-0.3428,left
31.735,4.3094,-0.0245,1.1168,2.5,0.5603,1.5708,1.9016,107.912,1.8834,0.4016,0.5984,-1.0,-0.4016,fast_left
